"idx","description"
0,"hausgemachte Käsespätzl mit gemischtem Salat"
1,"Hausgemachte Briesmilzswurst in der Brotsupp"
2,"Kalbsrahngoulasch mit Spätzl"
3,"Frische lieherl in Rahm mit Sennuelknödel"
4,"In Bier gebratenes Spanferkel mit Kartoffelknödel"
5,"Portion Gansbraten mit Kartoffelknödel und Selleriesalat"
6,"Hausgemachter gemischter Preßsack"
7,"Nudelsuppe"
8,"Hausgemachter gemischter Preßsack oder sauer, mit Zwiebel, Essig und Öl"
9,"Pfannkuchensuppe"
10,"hausgemachter Leberkäs"
11,"Leberknödelsuppe"
12,"Bunter Wurstsalat mit Emmentaler, Gurken-, Tomaten-, Paprikascheiben und gekochtem Ei"
13,"Nudelsuppe mit Ochsenfleisch"
14,"2 Paar Schweinswürstl auf dem Rost gebraten mit Sauerkraut"
15,"2 Pfälzer vom Rost mit Sauerkraut"
16,"1 Bratwurst „Fränkische Art“ vom Rost mit Sauerkraut"
17,"2 Stockwürste auf dem Rost gebraten mit Kartoffelsalat"
18,"„Spöckmeier Metzgerplatte“ (1 Pfälzer, 1 PaarSchweinswürstl, 1 Stockwurst,Sauerkraut, Leberknödel)"
19,"hausgemachte Briesmilzwurst auf dem Rost gebraten, Salatteller"
20,"Tellerfleisch mit frisch geriebenem Meerrettich, Kartoffelsalat"
21,"Schweinsbraten mit Kartoffelknödel"
22,"Bayrischer Sauerbraten mit hausgemachte Spätzl "
23,"Geräuchertes Ripperl mit Sauerkraut und Semmelknödel"
24,"Ganze Surhaxe (Eisbein) mit Sauerkraut und Semmelknödel"
25,"Hirschgulasch mit hausgemachte Spätzl"
26,"Wildschweinschlegel mit Reherl (Pfifferlinge), hausgemachte Spätzl, Butterbohnen"
27,"Hirschbraten in Rahmsoße mit hausgemachte Spätzl, Preiselbeeren, Butterbohnen"
28,"Portion Sauerkraut"
29,"Salatteller"
30,"alle übrigen Beilagen"
31,"Portion pommes frites"
32,"Pfannenkuchensuppe"
33,"Gulaschsuppe"
34,"Sauerbraten mit Semmelknödel"
35,"Rindsgulasch mit Spaghetti"
36,"Geräuchertes Wammerl mit Kraut und Semmelknödel"
37,"Schweinsbraten mit Semmelknödel und Salat "
38,"Tellerfleisch mit geriebenem Meerrettich, Salzkartoffel"
39,"Geräuchertes Ripperl mit Kraut und Semmelknödel"
40,"Kalbsbraten mit gemischtem Salat"
41,"Portion Schweinshaxe vom Holzkohlenofen mit Salat"
42,"Portion Kalbshaxe vom Holzkohlenofen mit Salat"
43,"Wildschweinbraten ""Försterin Art"" mit hausgemachte Spätzl, gemischter Salat"
44,"Hirschbraten in Rahmsoße mit hausgemachte Spätzl, Preiselbeeren, gemischter Salat"
45,"Hirschsteak mit pommes frites und grüne Bohnen"
46,"Portion Wildsau am Holzkohlenofen gebraten mit Salatplatte"
47,"2 Weißwürste mit Senf"
48,"2 Paar Wiener mit Kraut"
49,"2 Paar Schweinswürstl mit Kraut"
50,"2 Pfälzer vom Rost"
51,"Leberkäs"
52,"schwarzer oder weißer Preßsack"
53,"Wurstsalat"
54,"Ein halbes Original Münchner Wies’n-Hendl am Spieß"
55,"Ragout fin überbacken"
56,"1/2 Dtzd. Weinbergschnecken in Kräuterbutter"
57,"2 Stck. feingef. Königinpast."
58,"Delikateß-Ochsenmaulsalat"
59,"Brathering mit Butter"
60,"Heringsfilet Hausfrauenart"
61,"Matjeshering mit Butter und Kartoffel"
62,"Wurstsalat pikant"
63,"Münchner Wurstaufschnitt"
64,"Russ. Eier auf Fleischsalat"
65,"1 Port. Ölsardinen m. Toast"
66,"Beefsteak a la Tartar"
67,"Kalt. Kassler garniert"
68,"Sulzkotelette mit Röstkart."
69,"Räucheraal mit Toast"
70,"und Butte"
71,"Roastbeef kalt mit"
72,"Sce. Remoulade"
73,"Kalte Bratenplatte"
74,"mit Butter"
75,"Holsteiner Schinken gekocht"
76,"Westfäler Schinken"
77,"Langustenmayonnaise"
78,"auf Gemüsesalat"
79,"Schwedenplatte"
80,"1/2 kaltes Brathuhn"
81,"garniert"
82,"Kraftbrühe mit Einlage (siehe Tageskarte)"
83,"Echte Schildkrötensuppe"
84,"1 Tasse Nudelsuppe mit Huhn"
85,"Kraftbrühe mit Nudeln"
86,"1 Terrine Nudelsuppe mit Huhn"
87,"Kraftbrühe mit Ei oder Mark"
88,"mit gemischtem Salat"
89,"Goldbarschfilet"
90,"Müllerin-Art"
91,"Seezunge Müllerin-Art"
92,"mit Salatplatte"
93,"Seezungenfilets, gebacken,"
94,"Sce. rem. u. Kartoffelsalat"
95,"Hausgemachte Käsespätzle mit Salat"
96,"Kartoffelpuffer mit Kraut oder Apfelmus"
97,"Spaghetti mit Schinken"
98,"und Salat"
99,"Omelette mit Kräutern"
100,"Omelette mit Käse"
101,"Omelette mit feinem Ragout"
102,"3 Spiegeleier mit Bratkartoffeln"
103,"3 Spiegeleier mit Schinken"
104,"oder Speck u. Bratkart."
105,"Rühreier mit Schinken"
106,"oder Lachs und Salat"
107,"Speckpfannkuchen m. Salat"
108,"Milzwurst abgebräunt mit gemischtem Salat"
109,"Schweinefleisch Szegediner Art mit Knödel oder Salzkartoffeln"
110,"Ungarisches Saftgoulasch mit Knödel oder Salzkartoffeln"
111,"Bauernschmaus"
112,"Geräuchertes Wammerl auf Kraut mit Linsen"
113,"Kasseler Rippchen mit Erbsenbrei und Kraut"
114,"Augustiner-Wurstplatte auf Kraut mit Kartoffelpuffern"
115,"Schweinskotelette naturell oder gebacken mit bunter Salatplatte"
116,"Schweinsschnitzel ung. mit Teigwaren und grünem Salat"
117,"Wiener Schnitzel mit Salatplatte"
118,"Paprika-Schnitzel mit Reis und Salat"
119,"Rahmschnitzel mit Schwenkkartoffeln und Zuckererbsen"
120,"Wiener Rostbraten mit Pommes frites und Salat"
121,"Schnitzel a la Holstein"
122,"Hammelkoteletten mit Pommes frites und Butterbohnen"
123,"Rumpsteak mit Pommes frites, Kräuterbutter und Salat"
124,"Augustiner-Spezialtopf von dreierlei Filets"
125,"Filetbeefsteak m. Kräuterbutter, Pomm. fr. u. kleine Salatplatte"
126,"Filetsteak a la Gastronom"
127,"mit Pommes frites und Butterbohnen"
128,"Mixed Grill für 2 Personen"
129,"mit Pommes frites und Salatplatte"
130,"Doppelrumpsteak mit Kräuterbutter, Pommes frites"
131,"und Gemüsen für 2 Personen"
132,"Doppelfiletstück mit Sce. bearnaise,"
133,"reich garniert für 2 Personen"
134,"1/2 junges Brathuhn mit Salatplatte"
135,"Paprikahuhn mit Spaghetti und Salat"
136,"Huhnfricassée mit Risi Bisi"
137,"Belegtes Käsebrot"
138,"Emmentaler mit Butter"
139,"und Brot"
140,"Edamer mit Butter"
141,"Maccaroni"
142,"Spätzle"
143,"Püree"
144,"Salzkartoffeln"
145,"Pommes frites"
146,"Camembert mit Butter"
147,"und Pumpernickel"
148,"Gervais garniert"
149,"Gervais angemacht"
150,"Gemischte Käseplatte"
151,"Sauerkraut"
152,"Rotkraut"
153,"Wirsing"
154,"Erbsen"
155,"Gemüseplatte mit Spiegelei"
156,"Hawaii Ananas ohne Sahne"
157,"Hawaii Ananas mit Sahne"
158,"Fruchtsalat mit Maraschino"
159,"Fruchtsalat mit Schlagsahne"
160,"Frisches Apfelkompott"
161,"Fein gemischtes Kompott"
162,"Kirschen- oder Aprikosen-Kompott"
163,"Feine gemischte Obstplatte"
164,"Sahnen-Meerrettich"
165,"Semmel oder Brezel"
166,"Delikateß-Gurke"
167,"Schwarzbrot"
168,"Tomaten-Katchup"
169,"Toast oder Pumpernickel"
170,"1 Glas Cognac, deutsch"
171,"1 Glas Cognac, franzöisch"
172,"1 Glas Kirschwasser"
173,"1 Glas Vanille"
174,"1 Glas Maraschino"
175,"1 Glas Steinhäger"
176,"1 Glas Boonekamp"
177,"1 Glas Veritable liqueur Bernardine"
178,"de I’Hermitage Saint-Sauveur, gelb"
179,"Wiesnhendl"
180,"am Spieß"
181,"Schweinswürstl"
182,"am Rost"
183,"Augustiner Edel Stoff-Hell"
184,"Augustiner Export dunkel"
185,"Augustiner Märzenbier"
186,"Augustiner-Maibock"
187,"MAXIMATOR-STARKBIER"
188,"Weißbier"
189,"Kaffee mit Sahne und Zucker"
190,"Mokka-Doppelfilter"
191,"Tee mit Sahne oder Zitrone"
192,"Limonade Orange oder Zitrone"
193,"Apfelsaft"
194,"Überkinger"
195,"Fachinger Wasser"
196,"Zitrone Natur"
197,"Fruchtsaft"
198,"Afri-Cola (in der Bierstube)"
199,"Coca-Cola (im Restaurant)"
200,"Johannisbeersaft schwarz"
201,"1957er kl. Original Bocksbeutel, Eschendorfer Fürstenberg Sylvaner"
202,"Steinhäger"
203,"Doornkaat"
204,"Enzian, Wacholder"
205,"Kirschwasser"
206,"Zwetschgenwasser"
207,"Himbeergeist"
208,"Asbach Uralt, Mampe ""Alter Stamm"""
209,"Hemmeter Santa Cruz"
210,"Bols Kirsch"
211,"Bols Apricot"
212,"Danziger Goldwasser"
213,"Mampe Halb und Halb"
214,"Eierlikör"
215,"Ettaler Klosterlikör"
216,"Escorial grün"
217,"Jamaica-Rum 42 %"
218,"Grog"
219,"Deutscher Wermut weih oder rot"
220,"Orig. Muscateller Gold ""Dalmatien"""
221,"MALAGA"
222,"Martini oder Cinzano, weiß oder rot"
223,"Ausschank"
224,"von Bieren"
225,"aus der"
226,"Löwenbrauerei München"
227,"Filetbraten naturell"
228,"Filetbraten umlegt"
229,"Roastbeef naturell"
230,"Roastbeef umlegt"
231,"Gurkenrindsbraten mit Salat"
232,"Eingemachter H____(?) mit Blumenkohl"
233,"Kalbsbraten mit Salat"
234,"Kalbsbraten umlegt"
235,"Hackbraten mit Salat"
236,"Rindsgulasch"
237,"Ochsenzunge i. Madeirg(?)"
238,"Salat Platte"
239,"Kalbszungerl gesotten mit weißen Rüben"
240,"Rehschäufell"
241,"Gansbraten mit Kopfsalat"
242,"Gurken Salat"
243,"Radieschen Salat"
244,"Rehschauferl"
245,"Rehschlegel mit Komp."
246,"Rehrücken mit Johannis."
247,"Bouillon mit Ei"
248,"Nudelsuppe mit Hühnermägen"
249,"Goulasch-Suppe"
250,"Hühnerleber mit Herzl pikant mit Reis"
251,"Leber sauer mit Kartoffel"
252,"Milzwurst abgebräunt mit Salat"
253,"Sauerbraten mit Semmelknödel und Salat"
254,"Saftgoulasch mit Kartoffel"
255,"Kalbslhaxe gebraten"
256,"Schweinsbraten mit Kartoffelknödel und Salat"
257,"Zigeunerbraten mit Salzkartoffel und gr. Salat"
258,"Schweinefleisch mit Melange"
259,"Schweinshaxe gebraten"
260,"Geräuchertes Ripperl mit Sauerkraut und Kartoffel"
261,"Kellerfleisch mit Beilage"
262,"Brathühner am Spieß"
263,"Spanferkel gebraten mit Kartoffelknödel und Krautsalat"
264,"Schweinswürstl am Rost mit Kraut"
265,"Paprikaschnitzel mit Reis und Salat"
266,"Zigeunerschnitzel mit Beilage"
267,"Filetsteak mit Ei und Bratkartoffel"
268,"Bräurosl Wiesenschmankerl"
269,"Edel-Hell"
270,"Export-Dunkel"
271,"Märzen"
272,"Bock"
273,"Stern-Weiße"
274,"Beafsteak a la Tatar"
275,"Schweinsbraten mit Sewürzgurke"
276,"Kaltes Spanferkel"
277,"Schweinsknöcherlsülze"
278,"Bratensülze"
279,"2 Paar Schweinswürstl am Rost mit Kraut"
280,"2 Stück Weißwürste"
281,"2 Stück Regensburger mit Kraut oder Senf"
282,"2 Stück Pfälzer mit Kraut"
283,"St. Hubertus"
284,"Pschorr-Malz-Bier"
285,"Blumenkohl-Suppe, Schellfisch m. Butter u. Kart."
286,"Karpfen blau, m. Butter u. Kart."
287,"Karpfen blau geb. m. gem. Salat"
288,"Roastbeef garniert"
289,"Ochsenzunge,Cappernsauce, Spagh"
290,"Rehkeule, Spätzle u. Preisselbeer"
291,"Brathuhn, Compott u. Bratkart"
292,"1/2 Taube gef. m. Salatplatte"
293,"Niernbraten, gem. Tomatensalat"
294,"Kalbsschäuferl, Spaghetti, Tom. Sal."
295,"Wiener Markschlegel, Spätzle"
296,"Kalbsbries geb. m. gr. Erbsen"
297,"Gebr. Kalbshaxe, gem. Gurkensalat"
298,"Schweinebraten m. Klöse"
299,"Ochsenfleisch m. Karottengem."
300,"Ochsenbeinschfleisch m. Karottengem."
301,"Hammelrücken, Butterbohnen u."
302,"ger. Kartoffeln"
303,"Vanille-Eis m. Waffeln"
304,"Blumenkohl-Suppe, Eiersalat"
305,"Blumenkohl-Suppe, Spätzle m. Käse, gr. Salat"
306,"Blumenkohl-Suppe, Blumenkohl, Brösl u. Kart."
307,"Lendenschnitten garniert"
308,"Rumpsteak mit ger. Kartoffel"
309,"Ungar. Rostbraten mit ger. Kartoffel"
310,"Esterhazy-Rostbraten mit ger. Kartoffel"
311,"Zwiebel-Rostbraten mit ger. Kartoffel"
312,"Bayerischer Rostbraten mit ger. Kartoffel"
313,"Filet Beefsteak mit Ei"
314,"Filet Beefsteak mit Champignon"
315,"Filet Beefsteak mit Hindernissen"
316,"Wiener Schnitzel mit Salat"
317,"Holsteiner-Schnitzel garniert"
318,"Bismarck-Schnitzel mit ger. Kartoffel"
319,"Sardellen-Schnitzel mit ger. Kartoffel"
320,"Königin-Jäger-Schnitzel mit ger. Kartoffel"
321,"Rahm-Paprika-Schnitzel mit ger. Kartoffel"
322,"Kalbsteak mit Ei mit ger. Kartoffel"
323,"Schweinskotelett nat. mit Kraut"
324,"Schweinskotelett geb. mit Salat"
325,"Hospiz-Spezialität"
326,"Blumenkohlsuppe"
327,"Brandkrapfensuppe"
328,"Fleischbrühe"
329,"Fleischbrühe m. Ei"
330,"Blumenkohl-Suppe "
331,"Schlegelbraten m. Karotten u. Kart."
332,"Rahmschlegel m. Maccaroni"
333,"Kalbskopf m. Ei u. gem. Gurkensalat"
334,"Schweinshaxe m. Kraut u. Kart"
335,"2 Wollwürste mit Sauce"
336,"und Röstkartoffeln"
337,"Schweineschlegel gebraten"
338,"mit Semmelknödel"
339,"Ungarisches Goulasch"
340,"mit Spätzle"
341,"Kaltes Kasseler Ripperl"
342,"mit Schwenkkartoffeln"
343,"2 Stck. Weißwürste"
344,"2 Paar Schweinswürstl"
345,"mit Kraut"
346,"2 Stck. Regensburger"
347,"Schweinebraten mit Knödel, Salat"
348,"Hausgeräuchertes Ripperl auf Sauerkraut"
349,"Hausgeräuchertes Wammerl auf Sauerkraut"
350,"1 Portion Surhaxe auf Sauerkraut"
351,"Kalbsbraten mit Beilage"
352,"Schmorbraten mit Beilage"
353,"Tellerfleisch mit Meerrettich"
354,"Ungarisches Gulasch mit Knödel"
355,"Kalbs- oder Schweinshaxe mit Beilagen"
356,"Spanferkel gebr. mit Beilage"
357,"Bauernplatte"
358,"Schweinekotelette geb. mit gem. Salat"
359,"Wiener Schnitzl mit gem. Salat"
360,"Wies'n-Hendl"
361,"Kalter Schweinebraten mit Gurke"
362,"Kasseler Ripperl mit Gurke"
363,"Gemischte Wurstplatte"
364,"Pikanter Wurstsalat"
365,"Schinken-, Wurst- oder Käsebrot"
366,"Emmenthaler mit Butter"
367,"Löwenbräubier dunkel und hell"
368,"Nierenbraten-Salat"
369,"Erbsensuppe"
370,"Salzburger Nockerl"
371,"Nierenbraten garnirt"
372,"Bouillon m. Ei"
373,"Omlett gefüllt"
374,"Karpfen blau m. Kartoffeln"
375,"Pfannkuchen gefüllt"
